Unix Timestamp	Date	Symbol	Open	High	Low	Close	Volume
1.60E+12	10/21/2020 23:13	BTCUSD	12938.78	12945.73	12910.31	12910.31	7.16701373
1.60E+12	10/21/2020 23:12	BTCUSD	12939.53	12948	12917.11	12938.78	2.01173511
1.60E+12	10/21/2020 23:11	BTCUSD	12900.8	12939.53	12900.8	12939.53	4.00731765
1.60E+12	10/21/2020 23:10	BTCUSD	12905	12952.38	12872.2	12900.8	2.98704381
1.60E+12	10/21/2020 23:09	BTCUSD	12903.99	12932.32	12903.99	12905	1.79236705
1.60E+12	10/21/2020 23:08	BTCUSD	12915.83	12915.83	12889.01	12903.99	1.945135739
1.60E+12	10/21/2020 23:07	BTCUSD	12846	12915.83	12817.66	12915.83	16.21354942
1.60E+12	10/21/2020 23:06	BTCUSD	12849.53	12911.42	12823.28	12846	72.37583969
1.60E+12	10/21/2020 23:05	BTCUSD	13020.68	13021.08	12756	12849.53	103.0791937
1.60E+12	10/21/2020 23:04	BTCUSD	13017.45	13020.68	12986.17	13020.68	8.0323972
1.60E+12	10/21/2020 23:03	BTCUSD	13028.77	13033.35	12961.55	13017.45	17.21937808
1.60E+12	10/21/2020 23:02	BTCUSD	13097.61	13097.61	12952.83	13028.77	74.14077788
1.60E+12	10/21/2020 23:01	BTCUSD	13211.58	13211.58	13080.61	13097.61	62.66029706
1.60E+12	10/21/2020 23:00	BTCUSD	13230.05	13261.2	13211.58	13211.58	9.155761326
1.60E+12	10/21/2020 22:59	BTCUSD	13212.01	13230.05	13205.84	13230.05	3.06416158
1.60E+12	10/21/2020 22:58	BTCUSD	13212	13224.76	13196.5	13212.01	6.900623625
1.60E+12	10/21/2020 22:57	BTCUSD	13219.17	13238.98	13212	13212	0.79477222
1.60E+12	10/21/2020 22:56	BTCUSD	13195	13231.03	13195	13219.17	12.33920443
1.60E+12	10/21/2020 22:55	BTCUSD	13199.21	13199.21	13177.39	13195	6.97940918
1.60E+12	10/21/2020 22:54	BTCUSD	13186	13201.99	13186	13199.21	10.09502816
1.60E+12	10/21/2020 22:53	BTCUSD	13168.17	13186	13168.17	13186	7.191424081
1.60E+12	10/21/2020 22:52	BTCUSD	13150.12	13170.76	13150.12	13168.17	3.468496007
1.60E+12	10/21/2020 22:51	BTCUSD	13158.81	13158.81	13145	13150.12	3.56094947
1.60E+12	10/21/2020 22:50	BTCUSD	13160.05	13162.68	13140	13158.81	1.316302431
1.60E+12	10/21/2020 22:49	BTCUSD	13145.22	13163.5	13140.66	13160.05	102.7144142
1.60E+12	10/21/2020 22:48	BTCUSD	13140.3	13147.66	13140	13145.22	4.27916317
1.60E+12	10/21/2020 22:47	BTCUSD	13129.59	13142.49	13113.16	13140.3	16.02769685
1.60E+12	10/21/2020 22:46	BTCUSD	13114.47	13129.59	13113.62	13129.59	1.729291815
1.60E+12	10/21/2020 22:45	BTCUSD	13112.92	13121.89	13112.92	13114.47	2.204805217
1.60E+12	10/21/2020 22:44	BTCUSD	13124.57	13124.57	13110.98	13112.92	2.024902413
1.60E+12	10/21/2020 22:43	BTCUSD	13103.37	13134.38	13103.37	13124.57	21.47409992
1.60E+12	10/21/2020 22:42	BTCUSD	13084.22	13111	13084.22	13103.37	24.29789608
1.60E+12	10/21/2020 22:41	BTCUSD	13087.3	13150	13082.72	13084.22	117.6857548
1.60E+12	10/21/2020 22:40	BTCUSD	13074	13087.75	13074	13087.3	3.73207371
1.60E+12	10/21/2020 22:39	BTCUSD	13088.24	13088.24	13074	13074	13.62535223
1.60E+12	10/21/2020 22:38	BTCUSD	13075	13091.92	13067.73	13088.24	0.91996232
1.60E+12	10/21/2020 22:37	BTCUSD	13105.01	13105.01	13067.97	13075	0.65001492
1.60E+12	10/21/2020 22:36	BTCUSD	13124.21	13124.21	13105	13105.01	19.01831265
1.60E+12	10/21/2020 22:35	BTCUSD	13116.75	13124.21	13105	13124.21	3.48645523
1.60E+12	10/21/2020 22:34	BTCUSD	13105.34	13116.75	13105.34	13116.75	0.47529811
1.60E+12	10/21/2020 22:33	BTCUSD	13084.39	13116.11	13084.39	13105.34	0.429458709
1.60E+12	10/21/2020 22:32	BTCUSD	13093.1	13097.05	13084.39	13084.39	5.2645822
1.60E+12	10/21/2020 22:31	BTCUSD	13075.54	13101.08	13075.54	13093.1	3.4810723
1.60E+12	10/21/2020 22:30	BTCUSD	13077.67	13077.67	13063.1	13075.54	11.31710534
1.60E+12	10/21/2020 22:29	BTCUSD	13035.52	13085.2	13035.52	13077.67	1.0581995
1.60E+12	10/21/2020 22:28	BTCUSD	13035.77	13036.08	13035.27	13035.52	0.57534015
1.60E+12	10/21/2020 22:27	BTCUSD	13029.89	13040.37	13026.02	13035.77	1.72142166
1.60E+12	10/21/2020 22:26	BTCUSD	13024.19	13031.43	13018.91	13029.89	0.585237029
1.60E+12	10/21/2020 22:25	BTCUSD	13028.18	13033.26	13023.01	13024.19	0.602549701
1.60E+12	10/21/2020 22:24	BTCUSD	13034.92	13049.24	13022.93	13028.18	5.05999534
1.60E+12	10/21/2020 22:23	BTCUSD	13036.12	13036.12	13030.34	13034.92	1.61644072
1.60E+12	10/21/2020 22:22	BTCUSD	13016.83	13050	13014.87	13036.12	6.886500209
1.60E+12	10/21/2020 22:21	BTCUSD	13001.12	13016.83	13001.12	13016.83	1.154414028
1.60E+12	10/21/2020 22:20	BTCUSD	12986.41	13001.12	12983.34	13001.12	2.54384331
1.60E+12	10/21/2020 22:19	BTCUSD	12994.44	12996.65	12986.41	12986.41	0.468386539
1.60E+12	10/21/2020 22:18	BTCUSD	12982.64	13009.4	12982.64	12994.44	1.618730999
1.60E+12	10/21/2020 22:17	BTCUSD	13013.94	13014.32	12978.83	12982.64	11.57776757
1.60E+12	10/21/2020 22:16	BTCUSD	13049.34	13064.5	12996.91	13013.94	21.5034069
1.60E+12	10/21/2020 22:15	BTCUSD	12994.88	13050	12994.88	13049.34	1.715405757
1.60E+12	10/21/2020 22:14	BTCUSD	12980.65	12999.99	12980.65	12994.88	2.76134369
1.60E+12	10/21/2020 22:13	BTCUSD	12999.99	12999.99	12980.65	12980.65	3.49420772
